coin,target,toplam_veri,train_sayisi,test_sayisi,mae,mse,r2,train_mae,train_mse,train_r2,test_mae,test_mse,test_r2,r2_gap
TUSD,high,2606,1824,782,0.0036617585320004747,0.001561302028237227,-0.15753102061535307,0.002906254028848811,4.8928810829657366e-05,0.47236576253256657,0.0036617585320004747,0.001561302028237227,-0.15753102061535307,0.6298967831479196
DAI,high,2142,1499,643,0.003576803580472841,0.0005362268002899856,-0.0825022183660653,0.00336143965803336,0.00017580502473291194,0.22039942303367,0.003576803580472841,0.0005362268002899856,-0.0825022183660653,0.3029016413997353
ZEC,high,3375,2362,1013,33.91446426886058,7054.470885287558,0.6503859564443852,45.67510950648599,40024.13384592071,0.9007446515076047,33.91446426886058,7054.470885287558,0.6503859564443852,0.2503586950632195
SUN,high,1350,944,406,0.00047915736239063,1.5088486525731069e-06,0.8615674563667997,0.0003301954364296503,9.823618135137056e-07,0.9765825228661577,0.00047915736239063,1.5088486525731069e-06,0.8615674563667997,0.115015066499358
USDD,high,1351,945,406,0.007781830570260821,0.0003229402294434671,0.1736090284854489,0.0029890153437380942,9.468003803451897e-05,0.28106842956555056,0.007781830570260821,0.0003229402294434671,0.1736090284854489,0.10745940108010166
DCR,high,3794,2655,1139,0.7976722746354024,3.1587900320331475,0.8980071242907876,1.5721622227264347,11.454465546479259,0.9948954432045946,0.7976722746354024,3.1587900320331475,0.8980071242907876,0.096888318913807
CAKE,high,1942,1359,583,0.0637768465261684,0.018663028678009192,0.9376697492448792,0.26094902453906077,0.42663010757669956,0.9929338782398863,0.0637768465261684,0.018663028678009192,0.9376697492448792,0.0552641289950071
GLM,high,1352,946,406,0.007981055702677117,0.00021507080213952268,0.9083045761091909,0.01067221462344326,0.0005211818206870619,0.9590144495187286,0.007981055702677117,0.00021507080213952268,0.9083045761091909,0.0507098734095377
CVX,high,1458,1020,438,0.12059757347605395,0.0687741223253352,0.9407488350432327,0.2415425537767853,0.4474426232903837,0.9911803521030126,0.12059757347605395,0.0687741223253352,0.9407488350432327,0.050431517059779885
ZEN,high,3154,2207,947,0.38705793539276334,0.460442335815019,0.9408821839568832,1.1598919993457069,7.394793436515349,0.9909637069554651,0.38705793539276334,0.460442335815019,0.9408821839568832,0.05008152299858193
NFT,high,1479,1035,444,6.266305101944244e-09,1.7157102972000837e-16,0.9522903791033553,9.929040378769363e-09,5.106104199435291e-16,0.9980408103634678,6.266305101944244e-09,1.7157102972000837e-16,0.9522903791033553,0.04575043126011247
COMP,high,2045,1431,614,1.3889484340448297,9.998427441375995,0.952337161055534,5.527180652220474,129.4015381110702,0.995286023410859,1.3889484340448297,9.998427441375995,0.952337161055534,0.042948862355325024
FTT,high,2359,1651,708,0.05856204719159369,0.01692874644421611,0.9586235068944754,0.4281178925657433,0.8245036919384207,0.997957810872621,0.05856204719159369,0.01692874644421611,0.9586235068944754,0.039334303978145635
